;text
73679;Lima hubiera puesto de presidente a López Aliaga. Jamás podré superar eso.
75571;Por si acaso, les recuerdo a los hinchas de Rafael Lopez Aliaga, que al igual que Cerrón, es homófobo, misógino, machista, y cree que los únicos periodistas que merecen respeto son los que le dan la razón. Son Igualitos.
61379;Por si acaso, les recuerdo a los hinchas de Rafael Lopez Aliaga, que al igual que Cerrón, es homófobo, misógino, machista, y cree que los únicos periodistas que merecen respeto son los que le dan la razón. Son Igualitos.
16548;Lima hubiera puesto de presidente a López Aliaga. Jamás podré superar eso.
55849;Por si acaso, les recuerdo a los hinchas de Rafael Lopez Aliaga, que al igual que Cerrón, es homófobo, misógino, machista, y cree que los únicos periodistas que merecen respeto son los que le dan la razón. Son Igualitos.
53889;"¿Con cual te meterías una bomba🥃?
🔁RT: López Aliaga | ❤️ Like: Toledo https://t.co/Dg5ccspBYu"
02307;Por si acaso, les recuerdo a los hinchas de Rafael Lopez Aliaga, que al igual que Cerrón, es homófobo, misógino, machista, y cree que los únicos periodistas que merecen respeto son los que le dan la razón. Son Igualitos.
84704;Por si acaso, les recuerdo a los hinchas de Rafael Lopez Aliaga, que al igual que Cerrón, es homófobo, misógino, machista, y cree que los únicos periodistas que merecen respeto son los que le dan la razón. Son Igualitos.
95296;A los limeños les encanta  Lopez Aliaga  como candidato porque se sienten identificados con lo borracho o qué onda?
34791;Por si acaso, les recuerdo a los hinchas de Rafael Lopez Aliaga, que al igual que Cerrón, es homófobo, misógino, machista, y cree que los únicos periodistas que merecen respeto son los que le dan la razón. Son Igualitos.
76768;A los limeños les encanta  Lopez Aliaga  como candidato porque se sienten identificados con lo borracho o qué onda?
98785;Al ladrón de Toledo lo hicieron puré por declarar borracho a RPP, pero López Aliaga sí puede salir ebrio en el programa de la hija del delincuente suicida y nadie le dice nada 🍻
08387;"@SUNATOficial @MEF_Peru @pcmperu @Poder_Judicial_ @RadioNacionalFM @DiarioElPeruano @Gestionpe @SEMANAeconomica @canalN_ @atvmasnoticias @Latina_Noticias ¿Qué fue de Lopez Aliaga y Ernesto Bustamante?

En Arequipa pudieron procesar a la Tía Pocha sin problemas pero a deudores de alto calibre los dejan hasta meterse en la política."
76194;Una seguidora de López Aliaga acaba de darle RT a mi tuit sobre su devoción a San Pao pensando que era un elogio. Morí de risa. 😂
66731;Lima hubiera puesto de presidente a López Aliaga. Jamás podré superar eso.
06240;Por si acaso, les recuerdo a los hinchas de Rafael Lopez Aliaga, que al igual que Cerrón, es homófobo, misógino, machista, y cree que los únicos periodistas que merecen respeto son los que le dan la razón. Son Igualitos.
02030;Cuando más se necesita que la oposición esté unida, siguen los pleitos en Renovación Popular. ¿ Y Rafael López Aliaga no puede solucionar esos conflictos públicos? https://t.co/8kKV35JE4p
79937;Lima hubiera puesto de presidente a López Aliaga. Jamás podré superar eso.
31268;Por si acaso, les recuerdo a los hinchas de Rafael Lopez Aliaga, que al igual que Cerrón, es homófobo, misógino, machista, y cree que los únicos periodistas que merecen respeto son los que le dan la razón. Son Igualitos.
63938;"Qué tal borrachera la de López Aliaga ""Porky"" 🤣"
59046;Por si acaso, les recuerdo a los hinchas de Rafael Lopez Aliaga, que al igual que Cerrón, es homófobo, misógino, machista, y cree que los únicos periodistas que merecen respeto son los que le dan la razón. Son Igualitos.
26144;Al ladrón de Toledo lo hicieron puré por declarar borracho a RPP, pero López Aliaga sí puede salir ebrio en el programa de la hija del delincuente suicida y nadie le dice nada 🍻
86019;A los limeños les encanta  Lopez Aliaga  como candidato porque se sienten identificados con lo borracho o qué onda?
21155;"¿Al final Rafael López Aliaga a quien apoyará en la bronca de su partido?
¿A Norma Yarrow o a Jorge Montoya?
¿O mejor seguirá chupando para que tenga excusa de hacerse el loco?"
80034;"¿Al final Rafael López Aliaga a quien apoyará en la bronca de su partido?
¿A Norma Yarrow o a Jorge Montoya?
¿O mejor seguirá chupando para que tenga excusa de hacerse el loco?"
23842;Por si acaso, les recuerdo a los hinchas de Rafael Lopez Aliaga, que al igual que Cerrón, es homófobo, misógino, machista, y cree que los únicos periodistas que merecen respeto son los que le dan la razón. Son Igualitos.
48423;Hoy entré a varias tiendas en el centro comercial y en todas me echaron alcohol. Mis manos salieron creyendo que eran López Aliaga.
84803;Hoy entré a varias tiendas en el centro comercial y en todas me echaron alcohol. Mis manos salieron creyendo que eran López Aliaga.
